en;sv
English;Swedish
(No comments on this article.);(Inga kommentarer på denna artikeln.)
Add comment;Lägg till kommentar
Add new comment;Lägg till ny kommentar
Add new user;Lägg till ny användare
Admin main menu;Admin huvudmeny
Admin;Admin
Administration;Administration
All posts written by this user will remain and must be deleted manually.;Alla inlägg från denna användare kommer finnas kvar och måste tas bort manuellt.
Are you sure you want to delete the blog post with id;Är du säker på att du vill ta bort denna bloggpost med id
Are you sure you want to delete the comment with id;Är du säker på att du vill ta bort kommentaren med id
Are you sure you want to delete the user with id ' + id + '? All posts written by this user will remain and must be deleted manually.;Blah
Are you sure you want to delete the user with id;Är du säker på att du vill ta bort användaren med id
Author;Författare
Blog entry;Bloggpost
Blog posts;Bloggpost
Comment;Kommentar
Comments;Kommentarer
e.g. jadams;t.ex. kkarlsson
e.g. jadams@gmail.com;t.ex. kkarlsson@företaget.se
e.g. John Adams;t.ex. Kalle Karlsson
Edit post;Ändra bloggpost
Edit user;Ändra användare
Edit users;Ändra användare
Edit website settings;Ändra webbplatsinställningar
Email address;Epostadress
Email;Epost
Enter the blogpost body here;Skriv in bloggposttexten här
Enter the title of the post here;Skriv in titeln här
First;Första
Full name;Fullt namn
Go to page:;Gå till sidan:
Home;Hem
http://www.somesite.com/;http://www.hemsidan.se/
ID;ID
If you need a new password, enter it here;Om du behöver ett nytt lösenord, skriv det här
Invalid username or password.;Felaktigt användarnamn eller lösenord.
IP address;IP-adress
Last;Sista
Log out;Logga ut
Logged in as;Logga in som
Login;Logga in
Main site;Huvudsidan
name@company.com;namn@företaget.se
No blog posts.;Inga blogginlägg.
No comments.;Inga kommentarer.
One or more of the fields below were left blank!;Ett eller flera fält lämnades blanka!
Password;Lösenord
Please enter your username and password.;Skriv in användarnamn och lösenord.
Remove;Ta bort
Review blog posts;Visa blogginlägg
Review comments;Visa kommentarer
RSS feed;RSS-flöde
said...;sade...
Save;Spara
Set new password;Sätt nytt lösenord
Signed;Signatur
The name of your blog;Namnet på bloggen
The title for this website is "%s" at <a href="%s">%s</a>.;Titeln för denna webbsida är "%s" på adressen <a href="%s">%s</a>.
There are %d blog posts in total, with %d posted during the last month.;Det finns %d blogginlägg totalt, med %d skrivna under denna månaden.
There are %d comments in total, with %d posted during the last month.;Det finns %d kommentarer totalt, med %d postade under denna månaden.
There are %d users.;Det finns %d användare.
Title;Titel
User name / login;Användarnamn / login
Username or password was not given.;Användarnamn eller lösenord saknades
Username/login;Användarnamn/login
Username;Användarnamn
Website title;Webbplatsens titel
Website URL;URL till webbsidan
What did you think of my blogpost?;Vad tyckte du om min artikel?
Write blog post;Skriv blogginlägg
Write new;Skriv nytt
Written;Skrivet
You must specify all fields before submitting the blog post!;Du måste ange alla fält innan du sparar blogginlägget!
You must specify all fields before submitting the form!;Du måste ange alla fält innan du sparar formuläret!
You must specify all fields before submitting the form;Du måste ange alla fält innan du sparar formuläret
Your email address;Din epostadress
Your name...;Ditt namn...
Your name;Ditt namn
Your username;Ditt användarnamn
